run_id,timestamp,lidar_min,lidar_max,ultrasonic_left,ultrasonic_right,x,y,orientation,battery_level,collision_flag,path_smoothness,time_taken,target
1,0,0.76,3.04,0.97,1.63,0.13,0.1,316.54,98.9,0,0.83,34,timeout
1,1,2.16,4.84,0.95,0.82,0.14,0.43,253.94,98.32,0,0.83,34,timeout
1,2,1.48,4.97,1.11,1.37,0.17,0.88,108.54,97.96,0,0.83,34,timeout
1,3,0.66,4.32,1.24,0.86,0.46,1.24,314.48,97.26,0,0.83,34,timeout
1,4,0.34,4.96,1.46,1.86,0.59,1.41,233.75,96.87,0,0.83,34,timeout
1,5,0.82,4.91,1.16,1.55,0.81,1.48,288.48,95.72,0,0.83,34,timeout
1,6,0.44,4.78,1.61,0.59,1.12,1.49,174.63,95.35,0,0.83,34,timeout
1,7,0.64,4.91,0.78,1.69,1.49,1.54,123.31,94.63,0,0.83,34,timeout
1,8,1.67,3.98,1.37,1.45,1.59,1.67,175.39,93.79,0,0.83,34,timeout
1,9,0.7,2.93,1.73,0.94,1.78,2.14,107.0,93.14,0,0.83,34,timeout
1,10,1.63,4.12,0.47,1.8,2.11,2.61,173.65,92.3,0,0.83,34,timeout
1,11,0.75,4.67,1.54,1.8,2.43,2.78,63.5,91.63,0,0.83,34,timeout
1,12,0.73,4.83,1.2,0.2,2.49,3.17,187.22,91.0,0,0.83,34,timeout
1,13,0.39,4.52,0.58,0.41,2.7,3.66,181.28,90.7,0,0.83,34,timeout
1,14,1.84,4.78,1.4,0.99,2.94,4.06,158.4,90.19,0,0.83,34,timeout
1,15,0.36,4.69,0.36,1.64,3.26,4.47,96.58,89.34,0,0.83,34,timeout
1,16,0.82,3.83,1.33,0.52,3.6,4.89,111.75,88.87,0,0.83,34,timeout
1,17,1.61,4.89,0.62,0.95,3.75,5.37,315.23,88.22,0,0.83,34,timeout
1,18,0.39,4.95,0.11,1.69,4.17,5.47,258.01,87.19,0,0.83,34,timeout
1,19,1.11,4.9,0.76,1.03,4.43,5.62,229.04,86.42,0,0.83,34,timeout
1,20,0.71,4.08,0.4,0.19,4.66,5.72,44.88,85.34,0,0.83,34,timeout
1,21,0.68,3.99,1.22,0.67,5.06,5.78,244.39,84.77,0,0.83,34,timeout
1,22,0.69,4.98,1.77,0.78,5.12,5.87,326.09,84.29,0,0.83,34,timeout
1,23,0.42,4.62,0.8,0.44,5.25,6.2,295.85,83.34,0,0.83,34,timeout
1,24,0.37,4.69,1.96,1.97,5.73,6.48,175.99,82.54,0,0.83,34,timeout
1,25,1.31,4.6,0.34,0.58,5.96,6.64,339.88,81.78,0,0.83,34,timeout
1,26,1.67,4.34,1.08,1.04,6.21,6.68,343.87,81.39,0,0.83,34,timeout
1,27,1.13,4.87,1.16,0.3,6.4,6.89,45.64,80.66,0,0.83,34,timeout
1,28,0.54,4.07,1.62,1.38,6.44,7.35,99.94,79.86,0,0.83,34,timeout
